time: 0.14200139045715332, average: 1.4200139045715332e-05
p0 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p2377 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2378 = Tree[a, {a,Tree[a, {a}],a,a}]
p2379 = Tree[a, {a,Tree[a, {a,a}],a}]
p2380 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2381 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p2382 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p2383 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p2384 = Tree[a, {a,a,a,a,a}]
p2385 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p2386 = Tree[a, {a,a,a,Tree[a, {a}]}]
p2387 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p2388 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p2389 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p2390 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p2391 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2392 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p2393 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p2394 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p2395 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p2396 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p2397 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p2398 = Tree[a, {a,Tree[a, {a,a}],a}]
p2399 = Tree[a, {Tree[a, {a,a,a,a}]}]
p2400 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p2401 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p2402 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2403 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2404 = Tree[a, {a,Tree[a, {a}],a,a}]
p2405 = Tree[a, {a,Tree[a, {a,a}],a}]
p2406 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p2407 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p2408 = Tree[a, {Tree[a, {a}],a,a,a}]
p2409 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p2410 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p2411 = Tree[a, {a,a,Tree[a, {a}],a}]
p2412 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2413 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p2414 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p2415 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p2416 = Tree[a, {a,a,a,a,a}]
p2417 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2418 = Tree[a, {a,Tree[a, {a,a}],a}]
p2419 = Tree[a, {a,a,a,a,a}]
p2420 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2421 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p2422 = Tree[a, {Tree[a, {a,a}],a,a}]
p2423 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2424 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p2425 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p2426 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2427 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p2428 = Tree[a, {a,Tree[a, {a}],a,a}]
p2429 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p2430 = Tree[a, {Tree[a, {a,a}],a,a}]
p2431 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2432 = Tree[a, {a,Tree[a, {a,a}],a}]
p2433 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2434 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2435 = Tree[a, {Tree[a, {a,a}],a,a}]
p2436 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p2437 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p2438 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p2439 = Tree[a, {a,a,Tree[a, {a}],a}]
p2440 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p2441 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p2442 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p2443 = Tree[a, {a,Tree[a, {a,a}],a}]
p2444 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p2445 = Tree[a, {a,a,a,Tree[a, {a}]}]
p2446 = Tree[a, {a,Tree[a, {a,a,a}]}]
p2447 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p2448 = Tree[a, {a,a,a,a,a}]
p2449 = Tree[a, {Tree[a, {a,a,a,a}]}]
p2450 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p2451 = Tree[a, {a,a,Tree[a, {a}],a}]
p2452 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p2453 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p2454 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p2455 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p2456 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p2457 = Tree[a, {Tree[a, {a,a}],a,a}]
p2458 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p2459 = Tree[a, {Tree[a, {a,a,a}],a}]
p2460 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p2461 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2462 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p2463 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2464 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p2465 = Tree[a, {a,Tree[a, {a,a,a}]}]
p2466 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p2467 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p2468 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p2469 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2470 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2471 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p2472 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p2473 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2474 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p2475 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p2476 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p2477 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p2478 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p2479 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p2480 = Tree[a, {Tree[a, {a}],a,a,a}]
p2481 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2482 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p2483 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2484 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2485 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2486 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p2487 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p2488 = Tree[a, {a,a,a,a,a}]
p2489 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p2490 = Tree[a, {a,Tree[a, {a,a}],a}]
p2491 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p2492 = Tree[a, {a,Tree[a, {a}],a,a}]
p2493 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2494 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p2495 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2496 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p2497 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2498 = Tree[a, {Tree[a, {a,a}],a,a}]
p2499 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2500 = Tree[a, {a,Tree[a, {a,a}],a}]
p2501 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2502 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p2503 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p2504 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p2505 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p2506 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p2507 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p2508 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2509 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2510 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p2511 = Tree[a, {a,a,Tree[a, {a}],a}]
p2512 = Tree[a, {a,a,a,Tree[a, {a}]}]
p2513 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p2514 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p2515 = Tree[a, {Tree[a, {a}],a,a,a}]
p2516 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2517 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p2518 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p2519 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p2520 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2521 = Tree[a, {a,Tree[a, {a,a}],a}]
p2522 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2523 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p2524 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p2525 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2526 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p2527 = Tree[a, {a,a,a,a,a}]
p2528 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p2529 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p2530 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p2531 = Tree[a, {a,Tree[a, {a}],a,a}]
p2532 = Tree[a, {a,a,a,a,a}]
p2533 = Tree[a, {Tree[a, {a,a,a}],a}]
p2534 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2535 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p2536 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p2537 = Tree[a, {Tree[a, {a,a}],a,a}]
p2538 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p2539 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p2540 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p2541 = Tree[a, {a,a,a,Tree[a, {a}]}]
p2542 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p2543 = Tree[a, {a,Tree[a, {a}],a,a}]
p2544 = Tree[a, {a,Tree[a, {a}],a,a}]
p2545 = Tree[a, {a,a,a,Tree[a, {a}]}]
p2546 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p2547 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p2548 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2549 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2550 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p2551 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p2552 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p2553 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2554 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p2555 = Tree[a, {Tree[a, {a,a,a,a}]}]
p2556 = Tree[a, {Tree[a, {a,a,a,a}]}]
p2557 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2558 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2559 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p2560 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2561 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p2562 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2563 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p2564 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p2565 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p2566 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2567 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p2568 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2569 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p2570 = Tree[a, {Tree[a, {a,a,a,a}]}]
p2571 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p2572 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p2573 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p2574 = Tree[a, {a,Tree[a, {a}],a,a}]
p2575 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p2576 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p2577 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2578 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p2579 = Tree[a, {a,Tree[a, {a,a}],a}]
p2580 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2581 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p2582 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p2583 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p2584 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p2585 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p2586 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2587 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p2588 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p2589 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p2590 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p2591 = Tree[a, {a,a,Tree[a, {a}],a}]
p2592 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p2593 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2594 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p2595 = Tree[a, {Tree[a, {a}],a,a,a}]
p2596 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2597 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2598 = Tree[a, {a,a,a,a,a}]
p2599 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2600 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2601 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p2602 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p2603 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p2604 = Tree[a, {a,Tree[a, {a}],a,a}]
p2605 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2606 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p2607 = Tree[a, {Tree[a, {a,a,a,a}]}]
p2608 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p2609 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2610 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p2611 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p2612 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2613 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p2614 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p2615 = Tree[a, {Tree[a, {a,a,a,a}]}]
p2616 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p2617 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p2618 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p2619 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2620 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p2621 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p2622 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p2623 = Tree[a, {Tree[a, {a,a,a,a}]}]
p2624 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2625 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p2626 = Tree[a, {a,a,Tree[a, {a}],a}]
p2627 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p2628 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p2629 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p2630 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p2631 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p2632 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p2633 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2634 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p2635 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2636 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2637 = Tree[a, {a,Tree[a, {a}],a,a}]
p2638 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p2639 = Tree[a, {a,Tree[a, {a,a}],a}]
p2640 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p2641 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p2642 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p2643 = Tree[a, {a,a,Tree[a, {a}],a}]
p2644 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2645 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2646 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p2647 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p2648 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p2649 = Tree[a, {a,a,a,a,a}]
p2650 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p2651 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p2652 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2653 = Tree[a, {Tree[a, {a,a,a}],a}]
p2654 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p2655 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p2656 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2657 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p2658 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2659 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p2660 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2661 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p2662 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2663 = Tree[a, {a,Tree[a, {a}],a,a}]
p2664 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2665 = Tree[a, {a,a,a,a,a}]
p2666 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2667 = Tree[a, {a,a,Tree[a, {a}],a}]
p2668 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2669 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p2670 = Tree[a, {a,Tree[a, {a,a}],a}]
p2671 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2672 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2673 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p2674 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p2675 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2676 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2677 = Tree[a, {Tree[a, {a,a,a}],a}]
p2678 = Tree[a, {a,a,a,a,a}]
p2679 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p2680 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p2681 = Tree[a, {a,a,a,a,a}]
p2682 = Tree[a, {a,a,a,Tree[a, {a}]}]
p2683 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p2684 = Tree[a, {Tree[a, {a,a,a,a}]}]
p2685 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2686 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p2687 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2688 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p2689 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p2690 = Tree[a, {Tree[a, {a,a}],a,a}]
p2691 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p2692 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2693 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2694 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p2695 = Tree[a, {a,Tree[a, {a,a,a}]}]
p2696 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p2697 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p2698 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2699 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p2700 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2701 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p2702 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p2703 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p2704 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p2705 = Tree[a, {Tree[a, {a,a}],a,a}]
p2706 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p2707 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p2708 = Tree[a, {Tree[a, {a}],a,a,a}]
p2709 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p2710 = Tree[a, {a,a,a,a,a}]
p2711 = Tree[a, {Tree[a, {a}],a,a,a}]
p2712 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p2713 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p2714 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2715 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2716 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2717 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p2718 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p2719 = Tree[a, {a,a,a,a,a}]
p2720 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2721 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p2722 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p2723 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p2724 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p2725 = Tree[a, {Tree[a, {a,a}],a,a}]
p2726 = Tree[a, {Tree[a, {a}],a,a,a}]
p2727 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p2728 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p2729 = Tree[a, {a,a,Tree[a, {a}],a}]
p2730 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p2731 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p2732 = Tree[a, {a,a,Tree[a, {a}],a}]
p2733 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p2734 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p2735 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2736 = Tree[a, {a,Tree[a, {a}],a,a}]
p2737 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p2738 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p2739 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2740 = Tree[a, {a,Tree[a, {a,a}],a}]
p2741 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2742 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2743 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2744 = Tree[a, {a,Tree[a, {a,a,a}]}]
p2745 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2746 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p2747 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2748 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p2749 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2750 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2751 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
